City-State,Final-Score
Gallup-New-Mexico,37
Las-Cruces-New-Mexico,73
Rio-Rancho-New-Mexico,44
Roswell-New-Mexico,44
Santa-Fe-New-Mexico,65
Albany-New-York,100
Brookhaven-New-York,61
Buffalo-New-York,100
Ithaca-New-York,99
New-York-New-York,100
New-Rochelle-New-York,100
Northwest-Harbor-New-York,44
Rochester-New-York,100
Syracuse-New-York,100
White-Plains-New-York,98
Yonkers-New-York,100
Carrboro-North-Carolina,84
Cary-North-Carolina,12
Chapel-Hill-North-Carolina,100
Charlotte-North-Carolina,86
Durham-North-Carolina,100
Fayetteville-North-Carolina,39
Greensboro-North-Carolina,100
Raleigh-North-Carolina,69
Wilmington-North-Carolina,36
Winston-Salem-North-Carolina,87
Bismarck-North-Dakota,63
Fargo-North-Dakota,85
Grand-Forks-North-Dakota,78
Jamestown-North-Dakota,37
Mandan-North-Dakota,42
Minot-North-Dakota,49
West-Fargo-North-Dakota,58
Akron-Ohio,100
Cincinnati-Ohio,100
Cleveland-Ohio,100
Columbus-Ohio,100
Dayton-Ohio,100
Dublin-Ohio,45
Lakewood-Ohio,81
Toledo-Ohio,98
Broken-Arrow-Oklahoma,0
Edmond-Oklahoma,28
Lawton-Oklahoma,17
Moore-Oklahoma,0
Norman-Oklahoma,100
Oklahoma-City-Oklahoma,61
Stillwater-Oklahoma,41
Tulsa-Oklahoma,78
Ashland-Oregon,55
Bend-Oregon,58
Corvallis-Oregon,64
Eugene-Oregon,100
Gresham-Oregon,70
Hillsboro-Oregon,62
Portland-Oregon,100
Salem-Oregon,90
Allentown-Pennsylvania,94
Carlisle-Pennsylvania,86
Erie-Pennsylvania,86
Harrisburg-Pennsylvania,69
New-Hope-Pennsylvania,89
Philadelphia-Pennsylvania,100
Pittsburgh-Pennsylvania,100
Reading-Pennsylvania,91
State-College-Pennsylvania,100
Wilkes-Barre-Pennsylvania,80
Cranston-Rhode-Island,59
East-Providence-Rhode-Island,66
Narragansett-Rhode-Island,52
Newport-Rhode-Island,62
Pawtucket-Rhode-Island,64
Providence-Rhode-Island,100
South-Kingstown-Rhode-Island,58
Warwick-Rhode-Island,67
Charleston-South-Carolina,81
Clemson-South-Carolina,0
Columbia-South-Carolina,82
Greenville-South-Carolina,33
Mount-Pleasant-South-Carolina,32
Myrtle-Beach-South-Carolina,54
North-Charleston-South-Carolina,40
Rock-Hill-South-Carolina,17
Aberdeen-South-Dakota,12
