City-State,PercentageMales,MedianAge,Latitude,Longitude,PercentageHighSchoolGrads,PercentagePHDs,PercentageBelowPovertyLevel,Population,PercentageNoReligion,PercentageEvangelicals,FinalScore
Hartford-Connecticut,47.9,32.5,41.76,72.69,74.0,6.3,27.1,122105.0,50.48869480791128,5.661991870373394,72
New-Britain-Connecticut,48.9,33.9,41.67,72.78,80.3,6.2,22.1,72495.0,50.48869480791128,5.661991870373394,85
New-Haven-Connecticut,48.6,32.0,41.31,72.92,85.3,17.0,25.0,130250.0,51.16890073590368,3.882306426722104,73
Norwalk-Connecticut,50.4,40.6,41.11,73.42,90.1,17.4,8.1,88816.0,36.77196074731493,5.1141488761808365,100
Stamford-Connecticut,48.5,37.4,41.07,73.54,89.3,23.6,7.3,129638.0,36.77196074731493,5.1141488761808365,100
Waterbury-Connecticut,52.0,34.9,41.56,73.04,77.6,6.9,26.8,107568.0,51.16890073590368,3.882306426722104,67
Bethany-Beach-Delaware,40.4,69.0,38.54,75.06,98.9,25.7,2.1,1245.0,63.52278779578483,8.440487965710517,49
Dover-Delaware,46.4,30.9,39.16,75.53,87.7,11.3,24.4,38166.0,67.55283100240281,9.23664592446553,54
Middletown-Delaware,47.2,39.9,39.45,75.71,94.6,18.1,6.3,22900.0,53.50997903353706,6.12707273635555,30
Milford-Delaware,48.7,39.1,38.91,75.43,86.1,9.1,14.1,11732.0,63.52278779578483,8.440487965710517,74
Newark-Delaware,46.6,25.3,39.68,75.76,96.4,26.8,23.6,33515.0,53.50997903353706,6.12707273635555,61
Rehoboth-Beach-Delaware,50.5,65.4,38.72,75.08,96.9,27.7,5.1,1546.0,63.52278779578483,8.440487965710517,58
Smyrna-Delaware,50.7,37.8,39.3,75.61,93.3,5.4,10.0,11813.0,67.55283100240281,9.23664592446553,43
Wilmington-Delaware,47.1,36.5,39.75,75.55,87.6,12.6,29.8,70166.0,53.50997903353706,6.12707273635555,88
Cape-Coral-Florida,50.3,46.4,26.64,81.98,92.5,8.0,7.4,194495.0,62.31701128396746,14.333159866441267,69
Coral-Gables-Florida,47.6,40.7,25.73,80.27,96.2,34.9,6.9,49700.0,60.24242569904684,10.888086411222403,95
Daytona-Beach-Florida,47.8,42.7,29.21,81.04,90.2,7.6,22.8,69186.0,65.13557612016345,15.85606751409745,30
Fort-Lauderdale-Florida,51.4,41.1,26.14,80.14,88.6,15.1,15.6,182437.0,63.29818210525232,12.657302413066784,100
Gainesville-Florida,48.8,27.0,29.67,82.34,92.9,21.6,26.1,133997.0,58.420529158715276,19.344131060581557,96
Hialeah-Florida,48.0,44.9,25.86,80.29,68.2,5.9,21.3,233339.0,60.24242569904684,10.888086411222403,44
Hollywood-Florida,49.2,41.4,26.02,80.17,90.3,11.1,11.1,154817.0,63.29818210525232,12.657302413066784,100
Jacksonville-Florida,48.3,36.1,30.32,81.66,90.0,9.9,14.1,911507.0,44.4087042948732,30.81885953696965,85
Miami-Florida,49.5,40.7,25.79,80.22,78.2,12.2,20.3,467963.0,60.24242569904684,10.888086411222403,89
Miami-Beach-Florida,48.2,40.5,25.81,80.13,86.8,19.4,14.4,88885.0,60.24242569904684,10.888086411222403,100
Miami-Shores-Florida,50.0,40.4,25.87,80.19,93.9,27.1,4.4,10365.0,60.24242569904684,10.888086411222403,98
Oakland-Park-Florida,53.7,41.5,26.18,80.14,84.8,10.0,17.9,45202.0,63.29818210525232,12.657302413066784,100
Orlando-Florida,47.8,34.6,28.53,81.38,91.7,13.1,16.0,287442.0,57.91697063412556,18.934409349050053,100
Pembroke-Pines-Florida,47.2,40.7,26.01,80.31,91.9,12.0,9.2,173591.0,63.29818210525232,12.657302413066784,77
Tallahassee-Florida,47.2,26.8,30.45,84.27,92.8,21.9,27.4,194500.0,52.728440906467455,22.851532014214825,100
Tampa-Florida,49.4,36.0,27.97,82.46,88.0,17.3,17.0,399700.0,60.22708598744251,18.227242183292574,100
Wellington-Florida,46.2,44.6,26.66,80.25,97.2,16.9,4.7,65398.0,63.35864389524094,10.888137113353645,100
West-Palm-Beach-Florida,46.0,36.9,26.71,80.06,85.8,13.8,16.0,111955.0,63.35864389524094,10.888137113353645,100
Wilton-Manors-Florida,66.4,53.5,26.16,80.14,93.0,15.9,11.7,12756.0,63.29818210525232,12.657302413066784,100
Atlanta-Georgia,47.8,33.3,33.76,84.4,92.5,24.3,20.2,506811.0,34.2002496249651,22.204347037360105,100
