City-State,PercentageMales,MedianAge,Latitude,Longitude,PercentageHighSchoolGrads,PercentagePHDs,PercentageBelowPovertyLevel,Population,PercentageNoReligion,PercentageEvangelicals,FinalScore
West-Jordan-Utah,50.7,32.3,40.61,111.98,90.6,7.3,7.8,116480.0,26.762944869883604,2.6705061404062524,36
West-Valley-City-Utah,50.5,30.1,40.69,111.99,84.1,2.6,14.8,135248.0,26.762944869883604,2.6705061404062524,48
Barre-Vermont,50.4,39.6,44.2,72.5,86.3,8.9,22.8,8528.0,64.75291430107166,3.7995095239694967,44
Brattleboro-Vermont,47.5,45.7,42.86,72.56,92.7,21.1,24.9,7414.0,68.91245254195404,2.3049446229191473,58
Burlington-Vermont,49.2,27.1,44.48,73.22,92.2,21.6,26.4,42819.0,60.90644862499601,5.517902200645182,92
Castleton-Vermont,50.6,32.0,43.63,73.19,84.6,9.7,8.4,4717.0,61.65601375685409,4.1968138606794065,46
Essex-Vermont,48.8,39.9,44.5,73.09,94.2,17.1,3.5,19587.0,60.90644862499601,5.517902200645182,58
Montpelier-Vermont,43.8,44.9,44.26,72.57,97.0,32.2,7.5,7372.0,64.75291430107166,3.7995095239694967,64
Rutland-Vermont,49.4,45.4,43.61,72.97,91.0,8.9,12.6,15074.0,61.65601375685409,4.1968138606794065,59
South-Burlington-Vermont,47.6,42.2,44.45,73.18,95.6,20.9,6.6,19509.0,60.90644862499601,5.517902200645182,59
Winooski-Vermont,51.1,32.2,44.49,73.18,84.0,14.5,29.5,7333.0,60.90644862499601,5.517902200645182,60
Alexandria-Virginia,48.3,37.1,38.82,77.07,92.9,34.2,8.6,159428.0,54.30961805009788,8.066244659417288,100
Charlottesville-Virginia,48.4,31.8,38.03,78.49,91.1,28.5,24.1,47266.0,18.41978148361127,26.3438757906843,79
Chesapeake-Virginia,48.8,37.8,36.77,76.29,90.9,12.5,8.0,244835.0,61.35260047972855,19.765176027973663,80
Hampton-Virginia,48.4,35.7,37.03,76.36,91.7,10.3,13.8,134510.0,52.94027765650922,24.003172385692253,81
Newport-News-Virginia,48.2,33.4,37.07,76.48,90.9,10.8,14.8,179225.0,62.71338376153033,15.956816936791371,70
Norfolk-Virginia,52.2,31.1,36.89,76.26,88.3,11.7,17.9,242742.0,54.454022396757864,17.133231467485988,91
Richmond-Virginia,47.7,34.2,37.54,77.46,84.6,15.6,18.9,230436.0,25.2681011096203,23.50034767449832,100
Roanoke-Virginia,47.7,37.8,37.28,79.96,88.1,10.0,20.6,99143.0,61.42179786957651,24.32558240235559,65
Virginia-Beach-Virginia,49.1,36.6,36.83,76.09,94.1,15.3,6.8,449974.0,62.35679027566587,15.270528820029497,100
Bellevue-Washington,50.9,36.5,47.6,122.16,95.0,35.6,5.9,148164.0,62.37310673041125,10.59019318586055,100
Bellingham-Washington,47.2,35.6,48.75,122.47,95.6,17.9,18.4,92314.0,71.07387889032515,12.847767723973352,64
Kent-Washington,49.5,35.1,47.38,122.23,85.0,7.7,9.8,132319.0,62.37310673041125,10.59019318586055,80
Olympia-Washington,48.7,39.0,47.04,122.89,92.6,18.9,15.7,52882.0,71.0866393936511,11.286192243046965,100
Port-Townsend-Washington,45.9,54.2,48.12,122.78,96.8,28.0,15.6,9831.0,74.97991430101769,9.195902517407607,78
Pullman-Washington,51.1,22.3,46.73,117.17,97.0,36.9,35.9,34506.0,69.97945327854208,10.679828479542612,56
Seattle-Washington,51.2,34.7,47.63,122.33,94.6,28.1,9.8,753675.0,62.37310673041125,10.59019318586055,100
Spokane-Washington,49.4,37.0,47.67,117.41,91.5,11.3,16.1,222081.0,63.01332071363542,12.396943260168795,67
Tacoma-Washington,49.6,35.9,47.24,122.46,91.3,11.2,12.6,217827.0,64.74293438963815,15.22097519569933,96
Vancouver-Washington,50.2,36.9,45.63,122.6,91.7,10.3,13.6,184463.0,71.5628768839791,13.732506118303661,76
Vashon-Washington,44.6,54.1,47.42,122.47,96.0,23.4,5.3,10624.0,62.37310673041125,10.59019318586055,94
Charles-Town-West-Virginia,48.1,38.7,39.28,77.86,89.8,14.4,12.6,6029.0,67.18755841339863,8.890051964559422,45
Charleston-West-Virginia,48.4,41.9,38.35,81.63,91.9,19.0,20.9,46536.0,62.506539316181765,16.161563841854733,94
Huntington-West-Virginia,48.7,36.1,38.41,82.43,87.4,11.9,32.3,45110.0,60.7855147997799,14.352308474963401,100
Lewisburg-West-Virginia,42.4,47.2,37.8,80.44,89.4,17.3,18.5,3807.0,58.77113866967305,13.368094701240135,45
Morgantown-West-Virginia,53.3,25.3,39.63,79.95,93.6,29.5,32.7,30549.0,72.13610703926643,7.85640769734585,100
Parkersburg-West-Virginia,47.5,42.1,39.27,81.54,86.8,6.0,25.2,29306.0,54.552877317263906,15.666543999263997,13
Wheeling-West-Virginia,47.3,44.6,40.07,80.7,92.3,13.2,13.8,26430.0,36.89669914272214,8.917039803793623,59
Appleton-Wisconsin,47.4,33.9,44.27,88.4,92.7,11.0,11.5,74098.0,26.863804861484482,17.79733438976768,94
Green-Bay-Wisconsin,49.3,36.0,44.51,88.02,88.2,6.2,16.8,104578.0,32.97245642260098,13.368977488538631,84
Kenosha-Wisconsin,47.7,35.1,42.58,87.85,90.3,10.5,12.6,99944.0,62.746205520771994,9.122973573840627,39
Madison-Wisconsin,49.3,31.7,43.07,89.39,95.9,26.3,14.7,259680.0,54.08822040965183,6.295574637400553,100
Milwaukee-Wisconsin,48.3,31.5,43.05,87.96,85.2,8.8,22.4,590157.0,53.62353400475871,12.27115174600495,100
Oshkosh-Wisconsin,50.1,35.5,44.02,88.55,91.1,6.5,12.6,67004.0,50.39761907613447,14.334646753775585,75
Racine-Wisconsin,48.6,37.6,42.73,87.81,84.2,7.5,20.4,76760.0,52.98247768770982,10.523622369606157,86
Casper-Wyoming,49.5,37.7,42.83,106.33,93.0,9.3,10.0,57931.0,63.18091451292247,12.333996023856859,11
Cheyenne-Wyoming,50.6,37.2,41.15,104.8,93.5,11.6,10.4,64235.0,60.09723342562515,11.810809043144607,16
Gillette-Wyoming,50.5,31.7,44.28,105.51,92.6,6.2,14.3,32030.0,64.79743350746755,13.64749745301628,22
Jackson-Wyoming,58.0,32.9,43.48,110.77,90.6,16.0,6.0,10559.0,73.96449704142012,4.203061895369588,62
Laramie-Wyoming,52.1,26.2,41.31,105.59,95.6,23.5,23.9,32711.0,63.98798864982507,6.724703159866663,72
Rock-Springs-Wyoming,51.6,34.2,41.59,109.22,93.6,10.0,9.9,22653.0,52.27822672693239,9.91188421677396,0
Sheridan-Wyoming,48.8,38.3,44.8,106.96,95.6,13.2,6.8,17940.0,56.79008105508998,12.285341393048496,12
